element #,waveln. At elem cent.
815,823.622393
816,824.2096597
817,824.7969265
818,825.3841932
819,825.9714599
820,826.5587267
821,827.1459934
822,827.7332602
823,828.3205269
824,828.9077936
825,829.4950604
826,830.0823271
827,830.6695939
828,831.2568606
829,831.8441273
830,832.4313941
831,833.0186608
832,833.6059276
833,834.1931943
834,834.780461
835,835.3677278
836,835.9549945
837,836.5422613
838,837.129528
839,837.7167947
840,838.3040615
841,838.8913282
842,839.478595
843,840.0658617
844,840.6531284
845,841.2403952
846,841.8276619
847,842.4149286
848,843.0021954
849,843.5894621
850,844.1767289
851,844.7639956
852,845.3512623
853,845.9385291
854,846.5257958
855,847.1130626
856,847.7003293
857,848.287596
858,848.8748628
859,849.4621295
860,850.0493963
861,850.636663
862,851.2239297
863,851.8111965
864,852.3984632
865,852.98573
866,853.5729967
867,854.1602634
868,854.7475302
869,855.3347969
870,855.9220637
871,856.5093304
872,857.0965971
873,857.6838639
874,858.2711306
875,858.8583974
876,859.4456641
877,860.0329308
878,860.6201976
879,861.2074643
880,861.7947311
881,862.3819978
882,862.9692645
883,863.5565313
884,864.143798
885,864.7310648
886,865.3183315
887,865.9055982
888,866.492865
889,867.0801317
890,867.6673985
891,868.2546652
892,868.8419319
893,869.4291987
894,870.0164654
895,870.6037322
896,871.1909989
897,871.7782656
898,872.3655324
899,872.9527991
900,873.5400659
901,874.1273326
902,874.7145993
903,875.3018661
904,875.8891328
905,876.4763996
906,877.0636663
907,877.650933
908,878.2381998
909,878.8254665
910,879.4127333
911,880
912,880.5872667
